version,alias,canonical,status,evidence,alias_matches,canonical_matches,component_matches,cities
venue_aliases_v1,Queens Sports Club,"Queens Sports Club, Bulawayo",proposed,likely alias — explicit city suffix,2,21,23,Bulawayo
venue_aliases_v1,R Premadasa Stadium,"R Premadasa Stadium, Colombo",proposed,likely alias — explicit city suffix,24,75,99,Colombo
venue_aliases_v1,Radlett Cricket Club,"Radlett Cricket Club, Radlett",proposed,likely alias — explicit city suffix,1,7,8,Radlett
venue_aliases_v1,"Rajiv Gandhi International Stadium, Uppal","Rajiv Gandhi International Stadium, Uppal, Hyderabad",proposed,likely alias — explicit city suffix,50,23,73,Hyderabad
venue_aliases_v1,Riverside Ground,"Riverside Ground, Chester-le-Street",proposed,likely alias — explicit city suffix,49,38,87,Chester-le-Street
venue_aliases_v1,Saurashtra Cricket Association Stadium,"Saurashtra Cricket Association Stadium, Rajkot",proposed,likely alias — explicit city suffix,23,15,38,Rajkot
venue_aliases_v1,Sawai Mansingh Stadium,"Sawai Mansingh Stadium, Jaipur",proposed,likely alias — explicit city suffix,47,40,87,Jaipur
venue_aliases_v1,Saxton Oval,"Saxton Oval, Nelson",proposed,likely alias — explicit city suffix,3,7,10,Nelson
venue_aliases_v1,Seddon Park,"Seddon Park, Hamilton",proposed,likely alias — explicit city suffix,27,15,42,Hamilton
venue_aliases_v1,Senwes Park,"Senwes Park, Potchefstroom",proposed,likely alias — explicit city suffix,2,43,45,Potchefstroom
venue_aliases_v1,Shaheed Veer Narayan Singh International Stadium,"Shaheed Veer Narayan Singh International Stadium, Raipur",proposed,likely alias — explicit city suffix,20,2,22,Raipur
venue_aliases_v1,Sheikh Abu Naser Stadium,"Sheikh Abu Naser Stadium, Khulna",proposed,likely alias — explicit city suffix,4,7,11,Khulna
venue_aliases_v1,Sheikh Zayed Stadium,"Sheikh Zayed Stadium, Abu Dhabi",proposed,likely alias — explicit city suffix,70,21,91,Abu Dhabi
venue_aliases_v1,Sky Stadium,"Sky Stadium, Wellington",proposed,likely alias — explicit city suffix,1,3,4,Wellington
venue_aliases_v1,Sophia Gardens,"Sophia Gardens, Cardiff",proposed,likely alias — explicit city suffix,49,39,88,Cardiff
venue_aliases_v1,Sportpark Het Schootsveld,"Sportpark Het Schootsveld, Deventer",proposed,likely alias — explicit city suffix,2,5,7,Deventer
venue_aliases_v1,Sportpark Maarschalkerweerd,"Sportpark Maarschalkerweerd, Utrecht",proposed,likely alias — explicit city suffix,1,4,5,Utrecht
venue_aliases_v1,Sportpark Westvliet,"Sportpark Westvliet, The Hague",proposed,likely alias — explicit city suffix,3,9,12,The Hague
venue_aliases_v1,St George's Park,"St George's Park, Port Elizabeth",proposed,likely alias — explicit city suffix,10,49,59,Port Elizabeth
venue_aliases_v1,St Lawrence Ground,"St Lawrence Ground, Canterbury",proposed,likely alias — explicit city suffix,39,35,74,Canterbury
venue_aliases_v1,SuperSport Park,"SuperSport Park, Centurion",proposed,likely alias — explicit city suffix,22,61,83,Centurion
venue_aliases_v1,Terdthai Cricket Ground,"Terdthai Cricket Ground, Bangkok",proposed,likely alias — explicit city suffix,8,44,52,Bangkok
venue_aliases_v1,The Cooper Associates County Ground,"The Cooper Associates County Ground, Taunton",proposed,likely alias — explicit city suffix,36,38,74,Taunton
venue_aliases_v1,The Rose Bowl,"The Rose Bowl, Southampton",proposed,likely alias — explicit city suffix,50,40,90,Southampton
venue_aliases_v1,"The Village, Malahide","The Village, Malahide, Dublin",proposed,likely alias — explicit city suffix,10,5,15,Dublin
venue_aliases_v1,The Wanderers Stadium,"The Wanderers Stadium, Johannesburg",proposed,likely alias — explicit city suffix,4,38,42,Johannesburg
venue_aliases_v1,Trent Bridge,"Trent Bridge, Nottingham",proposed,likely alias — explicit city suffix,61,39,100,Nottingham
venue_aliases_v1,Tribhuvan University International Cricket Ground,"Tribhuvan University International Cricket Ground, Kirtipur",proposed,likely alias — explicit city suffix,4,30,34,Kirtipur
venue_aliases_v1,United Cricket Club Ground,"United Cricket Club Ground, Windhoek",proposed,likely alias — explicit city suffix,4,15,19,Windhoek
venue_aliases_v1,University Oval,"University Oval, Dunedin",proposed,likely alias — explicit city suffix,12,19,31,Dunedin
venue_aliases_v1,"Vidarbha Cricket Association Stadium, Jamtha","Vidarbha Cricket Association Stadium, Jamtha, Nagpur",proposed,likely alias — explicit city suffix,20,2,22,Nagpur
venue_aliases_v1,Wanderers Cricket Ground,"Wanderers Cricket Ground, Windhoek",proposed,likely alias — explicit city suffix,2,22,24,Windhoek
venue_aliases_v1,Wankhede Stadium,"Wankhede Stadium, Mumbai",proposed,likely alias — explicit city suffix,110,65,175,Mumbai
